Neighborhood Name,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Beato,38.734722,-9.105833,Restaurante D'Avis,38.73059480996245,-9.107754125595052,Restaurant
Beato,38.734722,-9.105833,Beatus,38.73785791863435,-9.103178394406966,Tapas Restaurant
Belem,38.7,-9.2,Enoteca de Belém,38.697618174301866,-9.202581841502083,Portuguese Restaurant
Belem,38.7,-9.2,Rui dos Pregos,38.69742230003602,-9.198946837293642,Portuguese Restaurant
Belem,38.7,-9.2,Santini,38.697426820138794,-9.198918851521134,Ice Cream Shop
Belem,38.7,-9.2,Fábrica dos Pastéis de Belém,38.69738144558947,-9.203372943526903,Bakery
Belem,38.7,-9.2,Museu Nacional dos Coches,38.69666413220113,-9.198710918426512,History Museum
Belem,38.7,-9.2,Jardim Afonso de Albuquerque,38.696499411027986,-9.200010658802986,Garden
Belem,38.7,-9.2,O Prado,38.69746900611668,-9.198470815770944,Portuguese Restaurant
Belem,38.7,-9.2,Palácio de Belém - Presidência da República de Portugal,38.69723323588559,-9.201416922606677,Capitol Building
Belem,38.7,-9.2,Starbucks Belem,38.697414191359044,-9.203681548375245,Coffee Shop
Belem,38.7,-9.2,Jardim Vasco da Gama,38.696331017116606,-9.202755534122616,Garden
Belem,38.7,-9.2,Pão Pão Queijo Queijo,38.697489234525236,-9.203880617035404,Sandwich Place
Belem,38.7,-9.2,Queijadas de Belém,38.69711611972407,-9.201652863731155,Portuguese Restaurant
Belem,38.7,-9.2,Belém 2 a 8,38.697269330581356,-9.201915046922801,Portuguese Restaurant
Belem,38.7,-9.2,Eléctrico BananaCafe,38.69782037954878,-9.204404222246524,Juice Bar
Belem,38.7,-9.2,Jardim Botânico Tropical,38.69842701128853,-9.20290975260973,Garden
Belem,38.7,-9.2,O Grande Mundo,38.69808044703053,-9.199351637149375,Chinese Restaurant
Belem,38.7,-9.2,Antiga Confeitaria,38.69759023216971,-9.203008802879985,Bakery
